iter	RMSE
225	0.16139901
226	0.1613733226
227	0.1613109251
228	0.1612339557
229	0.1611329261
230	0.1610745248
231	0.1610395328
232	0.1610175192
233	0.1609505934
234	0.1609083074
235	0.1608895589
236	0.1608111727
237	0.160770996
238	0.1606785948
239	0.1606370752
240	0.1606179174
241	0.1605703698
242	0.1604990655
243	0.1604785086
244	0.1604046811
245	0.1603414103
246	0.160327142
247	0.1602979242
248	0.1602615576
249	0.1602273924
250	0.1601578191
251	0.1601315773
252	0.1600973536
253	0.1600325084
254	0.1599954545
255	0.1599496687
256	0.1598878889
257	0.1598328033
258	0.1597764343
259	0.1597112306
260	0.1596535463
261	0.1596342384
262	0.1595635749
263	0.1595097966
264	0.1594480916
265	0.159416435
266	0.1593799203
267	0.1593490228
268	0.1593196006
269	0.1592860152
270	0.1592260267
271	0.1591847793
272	0.1591457107
273	0.1591122648
274	0.1590734963
275	0.1590128024
276	0.1589597068
277	0.1589036511
278	0.1588544895
279	0.1588185492
280	0.1587925909
281	0.1587394813
282	0.1587057984
283	0.1586851035
284	0.1586486892
285	0.1585993965
286	0.1585812578
287	0.1585576618
288	0.1585346556
289	0.1585080053
290	0.1584749145
291	0.1584439145
292	0.1584100996
293	0.1583691999
294	0.1583294743
295	0.1583102266
296	0.1582647312
297	0.1582487886
298	0.1582160701
299	0.1581902155
300	0.1581547782
301	0.158110366
302	0.1580801949
303	0.1580610902
304	0.1580283868
305	0.1579857877
306	0.1579511448
307	0.1579108564
308	0.1578883888
309	0.1578697088
310	0.1578386388
311	0.157828064
312	0.1577883421
313	0.157761354
314	0.1577321983
315	0.1577148152
316	0.1576848909
317	0.1576541925
318	0.1576414153
319	0.1576319325
320	0.1576133934
321	0.157575955
322	0.1575628212
323	0.1575318241
324	0.1575159454
325	0.1574976782
326	0.1574871489
327	0.1574533421
328	0.157442938
329	0.1574278106
330	0.1574124392
331	0.1574029998
332	0.1573881419
333	0.1573681279
334	0.1573499264
335	0.1573326622
336	0.157306824
337	0.1572724426
338	0.1572473205
339	0.1572376648
340	0.1572077752
341	0.1571966319
342	0.1571740988
343	0.1571398408
344	0.1571281545
345	0.1570990102
346	0.1570664111
347	0.1570352712
348	0.1570107251
349	0.1569832868
350	0.1569629215
351	0.156933762
352	0.1569188401
353	0.1569096311
354	0.1569008513
355	0.1568924794
356	0.156884906
357	0.156859777
358	0.1568381759
359	0.156809915
360	0.1567829064
361	0.1567572165
362	0.1567494421
363	0.1567282222
364	0.1567179522
365	0.1566938621
366	0.1566688425
367	0.1566518303
368	0.1566399743
369	0.1566105506
370	0.1566003028
371	0.1565929209
372	0.1565698859
373	0.1565480941
374	0.1565346924
375	0.1565213786
376	0.1565121177
377	0.1564902432
378	0.1564692351
379	0.1564481739
380	0.1564278617
381	0.1564082195
382	0.1563894977
383	0.1563794209
384	0.156358338
385	0.1563462724
386	0.1563281788
387	0.1563193284
388	0.1562958447
389	0.1562842613
390	0.1562758614
391	0.1562648969
392	0.1562591698
393	0.1562442996
394	0.1562264823
395	0.1562071688
396	0.1561891708
397	0.1561709478
398	0.1561601083
399	0.15615223
400	0.1561347707
401	0.1561304772
402	0.1561092129
403	0.1561006443
404	0.156089805
405	0.1560758865
406	0.1560465627
407	0.1560245819
408	0.1560174363
409	0.1560106679
410	0.1560042563
411	0.1559954295
412	0.1559780639
413	0.1559682707
414	0.15595009
415	0.1559441108
416	0.1559348674
417	0.1559305089
418	0.1559157815
419	0.1559002603
420	0.1558856663
421	0.155876847
422	0.1558617814
423	0.155856262
424	0.1558429318
425	0.1558324559
426	0.1558066362
427	0.1557933864
428	0.1557761001
429	0.1557662873
430	0.1557491782
431	0.1557255847
432	0.1557206863
433	0.1557047848
434	0.1557009146
435	0.1556893742
436	0.1556744007
437	0.1556665333
438	0.1556590933
439	0.1556430071
440	0.155628644
441	0.1556240926
442	0.1556159865
443	0.1556079288
444	0.1555939345
445	0.1555874368
446	0.1555708292
447	0.1555619084
448	0.1555467901
449	0.1555395232
450	0.1555250508
451	0.1555144879
452	0.1555094976
453	0.1555021518
454	0.1554910838
455	0.1554880676
456	0.1554833522
457	0.1554698397
458	0.1554632533
459	0.1554505543
460	0.1554443865
461	0.1554399189
462	0.1554333403
463	0.1554218026
464	0.1554063133
465	0.1553983487
466	0.1553956055
467	0.1553914857
468	0.1553785578
469	0.1553736726
470	0.1553612698
471	0.1553489605
472	0.1553188098
473	0.155309806
474	0.1553066583
475	0.1552847249
476	0.1552811735
477	0.1552719629
478	0.1552626228
479	0.1552510977
480	0.15522999
481	0.1552157451
482	0.1552116385
483	0.1552080487
484	0.1552003764
485	0.1551914436
486	0.1551780858
487	0.1551587332
488	0.1551559729
489	0.1551488576
490	0.155145998
491	0.1551355993
492	0.1551265064
493	0.1551222322
494	0.1551164711
495	0.1551075258
496	0.1551045056
497	0.155101452
498	0.1550911798
499	0.1550859367
500	0.1550836272
501	0.1550795035
502	0.155074461
503	0.1550644954
504	0.1550525116
505	0.1550470326
506	0.1550421197
507	0.1550306293
508	0.155026867
509	0.15500718
510	0.1550045536
511	0.1549792503
512	0.154976604
513	0.1549674587
514	0.154965451
515	0.1549593762
516	0.154945847
517	0.1549414722
518	0.1549287523
519	0.1549048571
520	0.1548875518
521	0.1548775089
522	0.154872466
523	0.154868857
524	0.1548639943
525	0.1548558273
526	0.1548515946
527	0.1548415292
528	0.1548271086
529	0.1548226443
530	0.1548203862
531	0.1548156073
532	0.1548102235
533	0.1548072262
534	0.1548036564
535	0.1547958204
536	0.1547844399
537	0.1547806308
538	0.1547724054
539	0.1547676313
540	0.15476592
541	0.1547566829
542	0.1547474508
543	0.1547434898
544	0.1547303254
545	0.1547218394
546	0.1547117922
547	0.1547044536
548	0.154701704
549	0.1546942001
550	0.154686435
551	0.1546767432
552	0.1546727343
553	0.1546693391
554	0.1546679696
555	0.1546529599
556	0.1546491981
557	0.1546279193
558	0.1546244943
559	0.1546122412
560	0.1546050474
561	0.1546023781
562	0.1545990849
563	0.1545905052
564	0.1545776524
565	0.1545715321
566	0.1545667244
567	0.1545599427
568	0.1545526121
569	0.1545445358
570	0.1545360124
571	0.1545340793
572	0.1545232631
573	0.1545175376
574	0.1545101328
575	0.1545013244
576	0.1544977428
577	0.1544918069
578	0.1544842349
579	0.154480681
580	0.1544748748
581	0.1544675093
582	0.1544611724
583	0.1544586389
584	0.1544539149
585	0.1544522792
586	0.1544408917
587	0.1544391256
588	0.1544336864
589	0.1544262235
590	0.1544239438
591	0.1544202249
592	0.1544112042
593	0.1544068259
594	0.1543997178
595	0.1543951606
596	0.1543931995
597	0.1543905302
598	0.154385211
599	0.1543820534
600	0.1543758679
601	0.1543716155
602	0.1543698141
603	0.1543617918
604	0.1543558477
605	0.1543501849
606	0.1543488249
607	0.154340682
608	0.1543355169
609	0.1543340218
610	0.154328362
611	0.1543112898
612	0.1543066558
613	0.1543037316
614	0.1543025367
615	0.1542987324
616	0.1542931422
617	0.1542817217
618	0.1542799813
619	0.1542764658
620	0.1542717134
621	0.1542656062
622	0.1542644818
623	0.1542578119
624	0.1542522893
625	0.1542449774
626	0.1542415241
627	0.1542364309
628	0.1542307004
629	0.1542272665
630	0.1542162558
631	0.1542129202
632	0.154207153
633	0.1542003032
634	0.1541978026
635	0.154196281
636	0.1541869527
637	0.1541838876
638	0.1541808437
639	0.1541764829
640	0.154172365
641	0.154166132
642	0.1541610237
643	0.1541591771
644	0.1541547933
645	0.1541538037
646	0.1541514414
647	0.1541465248
648	0.1541455827
649	0.1541449168
650	0.1541409705
651	0.1541355752
652	0.1541221786
653	0.1541201516
654	0.154117409
655	0.1541135009
656	0.154107517
657	0.154101789
658	0.1540980263
659	0.1540914483
660	0.1540891973
661	0.1540841772
662	0.1540832744
663	0.1540771689
664	0.1540693627
665	0.1540629594
666	0.1540585904
667	0.1540527817
668	0.1540416158
669	0.1540319512
670	0.1540274575
671	0.1540207951
672	0.154019827
673	0.1540149584
674	0.1540116891
675	0.1540090119
676	0.1540061664
677	0.1540049803
678	0.1540036703
679	0.1540003565
680	0.153999627
681	0.1539954987
682	0.1539908808
683	0.153989122
684	0.1539829332
685	0.1539796052
686	0.1539762912
687	0.153968845
688	0.1539572057
689	0.1539521382
690	0.153950302
691	0.1539498371
692	0.1539479066
693	0.1539465038
694	0.1539425138
695	0.1539386286
696	0.1539347553
697	0.1539311753
698	0.1539299043
699	0.1539239624
700	0.1539233813
701	0.1539192943
702	0.1539171643
703	0.1539158126
704	0.1539142502
705	0.153910919
706	0.1539002442
707	0.1538909009
708	0.1538889096
709	0.153885144
710	0.1538845447
711	0.1538828938
712	0.153881603
713	0.1538810187
714	0.1538717527
715	0.1538698581
716	0.1538613023
717	0.1538554786
718	0.1538488865
719	0.1538480522
720	0.1538444164
721	0.1538430503
722	0.1538400251
723	0.153836199
724	0.1538348317
725	0.153830183
726	0.1538295768
727	0.1538250216
728	0.1538172671
729	0.153812492
730	0.1538088816
731	0.1538048344
732	0.1538041643
733	0.1538022808
734	0.1537982432
735	0.153797096
736	0.1537961591
737	0.1537938004
738	0.1537898358
739	0.1537846557
740	0.1537796802
741	0.1537758969
742	0.1537715169
743	0.153769853
744	0.1537688891
745	0.1537664403
746	0.1537647688
747	0.153762387
748	0.1537575935
749	0.1537537577
750	0.153748855
751	0.1537483323
752	0.1537447914
753	0.153741779
754	0.1537407694
755	0.153739056
756	0.1537376662
757	0.1537357006
758	0.1537312322
759	0.1537274447
760	0.1537254391
761	0.1537232297
762	0.153712047
763	0.153707221
764	0.1537032986
765	0.1536975535
766	0.1536951351
767	0.1536943251
768	0.1536903267
769	0.1536882163
770	0.1536850207
771	0.1536846694
772	0.153680177
773	0.1536736956
774	0.1536708917
775	0.1536694781
776	0.1536651781
777	0.1536634349
778	0.1536609635
779	0.1536585064
780	0.1536569444
781	0.1536554236
782	0.1536519781
783	0.1536475104
784	0.1536414111
785	0.1536387876
786	0.1536374085
787	0.1536348152
788	0.1536323997
789	0.1536316784
790	0.1536312307
791	0.1536305123
792	0.1536263852
793	0.1536214369
794	0.1536203676
795	0.1536200235
796	0.153617865
797	0.1536157557
798	0.1536153818
799	0.153608106
800	0.1536031765
801	0.1536025798
802	0.153596431
803	0.1535950783
804	0.1535874401
805	0.1535834997
806	0.1535823481
807	0.1535801162
808	0.1535780866
809	0.1535745215
810	0.1535728626
811	0.1535659357
812	0.153561279
813	0.1535608672
814	0.1535597113
815	0.1535570806
816	0.1535556993
817	0.1535508172
818	0.1535499248
819	0.153547758
820	0.153546578
821	0.1535455781
822	0.1535434109
823	0.1535348398
824	0.1535318439
825	0.1535278112
826	0.153522275
827	0.1535210816
828	0.1535201054
829	0.1535191321
830	0.1535176066
831	0.1535134928
832	0.1535122168
833	0.1535092558
834	0.1535055053
835	0.1535038473
836	0.1535035097
837	0.153501952
838	0.1535007708
839	0.1534992121
840	0.1534975201
841	0.1534959392
842	0.1534944287
843	0.1534916218
844	0.1534901796
845	0.1534870074
846	0.1534837067
847	0.1534812784
848	0.1534792519
849	0.1534781619
850	0.1534739761
851	0.1534707281
852	0.1534696072
853	0.1534686118
854	0.153464683
855	0.1534615703
856	0.1534587006
857	0.1534569285
858	0.1534540485
859	0.1534509247
860	0.1534495106
861	0.1534478026
862	0.1534444416
863	0.153442141
864	0.1534412052
865	0.1534379929
866	0.1534369052
867	0.1534339676
868	0.1534327851
869	0.1534321613
870	0.1534294797
871	0.1534269333
872	0.1534246858
873	0.1534232898
874	0.153420608
875	0.1534190194
876	0.1534159037
877	0.1534140072
878	0.1534112196
879	0.1534087834
880	0.1534077831
881	0.1534071881
882	0.1534044668
883	0.153400782
884	0.1533999357
885	0.1533982647
886	0.1533974878
887	0.1533961955
888	0.1533958155
889	0.1533955022
890	0.1533937205
891	0.1533908021
892	0.1533902864
893	0.1533880335
894	0.1533871052
895	0.1533814061
896	0.1533794329
897	0.1533768564
898	0.153375753
899	0.1533742139
900	0.1533723982
901	0.1533714135
902	0.1533695886
903	0.1533666858
904	0.15336581
905	0.1533650803
906	0.1533639177
907	0.1533589699
908	0.1533579815
909	0.153356958
910	0.1533545801
911	0.1533544298
912	0.1533539269
913	0.1533531846
914	0.1533510237
915	0.1533479451
916	0.1533466393
917	0.1533455579
918	0.153344378
919	0.1533419665
920	0.1533394418
921	0.153338899
922	0.1533364521
923	0.1533349137
924	0.1533347733
925	0.153333994
926	0.1533319422
927	0.1533306241
928	0.153328439
929	0.1533272167
930	0.153324041
931	0.1533231887
932	0.1533223694
933	0.1533217271
934	0.1533182599
935	0.15331514
936	0.1533123011
937	0.1533063157
938	0.1533055966
939	0.1533042553
940	0.1533038431
941	0.1533014816
942	0.1532994358
943	0.1532979764
944	0.1532968216
945	0.1532960074
946	0.1532946001
947	0.153290255
948	0.1532894864
949	0.153288664
950	0.1532879833
951	0.1532869422
952	0.1532855248
953	0.153284694
954	0.1532815637
955	0.1532813715
956	0.1532802892
957	0.1532743889
958	0.1532741206
959	0.1532737601
960	0.153273205
961	0.1532716099
962	0.1532691673
963	0.153263703
964	0.1532627953
965	0.1532618606
966	0.1532610778
967	0.1532605386
968	0.1532595209
969	0.1532590902
970	0.1532567531
971	0.1532562505
972	0.1532548889
973	0.153252791
974	0.1532526432
975	0.1532522302
976	0.1532511372
977	0.153248786
978	0.1532477116
979	0.1532475516
980	0.1532461527
981	0.153242265
982	0.1532407976
983	0.1532392098
984	0.1532382236
985	0.1532370244
986	0.1532358279
987	0.1532356613
988	0.1532347407
989	0.153234436
990	0.1532325739
991	0.153230094
992	0.1532277552
993	0.153222854
994	0.1532223
995	0.1532204992
996	0.1532197791
997	0.1532196114
998	0.1532188534
999	0.1532175336
